nodes, spock
d=2
121, 1021.19
202, 1243.6
283, 1957.12
364, 2730.68
445, 2569.98
526, 2908.79
d=3
341, 1456.31
597, 1823.11
853, 1860.87
1109, 2090.86
1365, 2603.74

nodes, mosek
d=2
121.00000, 556.27155
202.00000, 1276.13473
283.00000, 1469.45882
364.00000, 1823.12918
445.00000, 2183.87723
526.00000, 2631.65307
d=3
341.00000, 2604.02942
597.00000, 3557.60622
853.00000, 4933.92420
1109.00000, 6835.17766
1365.00000, 8544.93046
