nodes, GUROBI, MOSEK, IPOPT, COSMO, SPOCK
57, 2.222762922, 4.11315596, 0.546813357, 0.0, 0.480764
37, 2.06183338, 4.038612774, 0.319640442, 21.246030473, 0.670093
51, 2.114131723, 4.422611609, 1.144825406, 23.126662238, 0.560044
53, 2.211770152, 4.570441377, 1.080090989, 23.95178117, 2.46304
61, 2.213566905, 4.385788073, 0.891699128, 23.990227948, 1.13682
26, 2.158651651, 4.813297856, 1.006925003, 20.73635929, 0.521643
36, 2.29735991, 4.257046501, 0.690906244, 23.333235869, 0.375384
16, 1.877043165, 4.257045549, 0.296003698, 19.7476316, 0.412583
35, 2.535461615, 4.922088289, 1.462430732, 20.588465445, 0.995908
46, 2.002965883, 3.850625539, 0.388307887, 19.064264176, 2.71328
61, 1.806231825, 3.894783919, 0.691651736, 19.449051789, 0.996298
31, 1.964048609, 3.894839448, 0.5418781, 20.511064501, 0.565229
46, 1.952162455, 3.791157741, 0.570820386, 19.16666109, 0.28213
28, 2.298089892, 4.813994442, 1.539999994, 23.659343018, 1.56075
43, 2.123203811, 4.76205557, 1.420720717, 20.526734906, 1.32397
81, 1.9514011, 3.794325473, 0.616006447, 20.453998916, 0.487309
27, 1.880086861, 3.718116652, 0.271248803, 18.278530799, 1.03796
25, 2.02023114, 4.518779325, 0.797161432, 19.185185208, 2.96519
