Start date;End date;Photovoltaics and wind [MWh];Wind offshore [MWh];Wind onshore [MWh];Photovoltaics [MWh]
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;35,700.00;5,543.00;30,157.00;0.00
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;34,724.25;5,262.50;29,461.75;0.00
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;34,137.75;5,108.50;29,029.25;0.00
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;33,745.00;4,666.50;29,078.50;0.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;33,536.00;4,415.75;29,120.25;0.00
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;33,021.75;4,174.75;28,847.00;0.00
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;33,757.50;4,133.50;29,624.00;0.00
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;33,619.50;3,897.00;29,722.50;0.00
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;34,637.00;3,773.25;30,190.25;673.50
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;37,925.50;3,726.25;30,473.75;3,725.50
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;41,276.75;3,861.75;30,619.00;6,796.00
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;42,851.75;3,777.75;30,732.00;8,342.00
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;42,745.75;3,868.75;30,614.00;8,263.00
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;41,237.50;3,870.75;30,167.50;7,199.25
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;37,865.75;3,897.50;29,104.00;4,864.25
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;33,935.00;3,992.25;28,029.00;1,913.75
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;31,397.50;3,867.50;27,353.25;176.75
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;31,474.50;4,319.00;27,155.50;0.00
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;31,653.50;4,674.25;26,979.25;0.00
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;31,209.25;4,687.25;26,522.00;0.00
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;30,645.75;4,644.50;26,001.25;0.00
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;29,552.75;4,572.75;24,980.00;0.00
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;27,756.25;4,422.25;23,334.00;0.00
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;25,871.00;4,106.00;21,765.00;0.00
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;24,135.50;3,519.75;20,615.75;0.00
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;23,333.25;3,622.75;19,710.50;0.00
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;23,341.75;3,766.25;19,575.50;0.00
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;24,386.00;3,891.75;20,494.25;0.00
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;26,933.00;4,520.75;22,412.25;0.00
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;29,679.75;4,954.50;24,725.25;0.00
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;32,693.00;5,068.75;27,624.25;0.00
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;34,724.75;5,095.25;29,629.50;0.00
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;36,236.25;5,091.50;31,019.25;125.50
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;37,523.50;5,049.25;31,940.00;534.25
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;37,687.75;4,952.75;31,745.25;989.75
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;36,599.50;4,392.50;30,875.75;1,331.25
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;35,208.25;4,215.25;29,590.50;1,402.50
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;33,445.75;3,866.50;28,401.75;1,177.50
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;31,568.75;3,373.50;27,457.00;738.25
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;30,466.25;3,072.25;27,048.00;346.00
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;30,894.50;3,203.25;27,613.75;77.50
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;32,770.50;3,781.75;28,988.75;0.00
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;35,281.75;4,530.50;30,751.25;0.00
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;37,710.50;5,063.75;32,646.75;0.00
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;39,571.75;5,228.50;34,343.25;0.00
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;41,138.75;5,240.00;35,898.75;0.00
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;41,961.25;5,112.00;36,849.25;0.00
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;42,937.75;4,955.00;37,982.75;0.00
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;40,785.75;3,009.75;37,776.00;0.00
Jan 3, 2024 1:00 AM;Jan 3, 2024 2:00 AM;40,372.50;2,558.50;37,814.00;0.00
Jan 3, 2024 2:00 AM;Jan 3, 2024 3:00 AM;40,599.50;2,232.00;38,367.50;0.00
Jan 3, 2024 3:00 AM;Jan 3, 2024 4:00 AM;41,674.00;2,207.00;39,467.00;0.00
Jan 3, 2024 4:00 AM;Jan 3, 2024 5:00 AM;41,807.00;2,170.25;39,636.75;0.00
Jan 3, 2024 5:00 AM;Jan 3, 2024 6:00 AM;42,932.75;2,420.50;40,512.25;0.00
Jan 3, 2024 6:00 AM;Jan 3, 2024 7:00 AM;45,884.50;3,753.50;42,131.00;0.00
Jan 3, 2024 7:00 AM;Jan 3, 2024 8:00 AM;47,757.50;4,701.25;43,056.25;0.00
Jan 3, 2024 8:00 AM;Jan 3, 2024 9:00 AM;48,037.75;4,666.50;43,001.00;370.25
Jan 3, 2024 9:00 AM;Jan 3, 2024 10:00 AM;49,463.50;4,698.00;42,786.50;1,979.00
Jan 3, 2024 10:00 AM;Jan 3, 2024 11:00 AM;51,122.50;4,600.75;42,620.50;3,901.25
Jan 3, 2024 11:00 AM;Jan 3, 2024 12:00 PM;51,878.25;4,105.50;42,558.75;5,214.00
Jan 3, 2024 12:00 PM;Jan 3, 2024 1:00 PM;51,983.25;3,982.25;42,289.25;5,711.75
Jan 3, 2024 1:00 PM;Jan 3, 2024 2:00 PM;50,622.25;3,802.25;41,584.50;5,235.50
Jan 3, 2024 2:00 PM;Jan 3, 2024 3:00 PM;47,224.75;3,251.75;40,585.25;3,387.75
Jan 3, 2024 3:00 PM;Jan 3, 2024 4:00 PM;43,847.25;3,060.00;39,428.75;1,358.50
Jan 3, 2024 4:00 PM;Jan 3, 2024 5:00 PM;41,270.75;2,979.75;38,147.50;143.50
Jan 3, 2024 5:00 PM;Jan 3, 2024 6:00 PM;39,552.75;2,854.00;36,698.75;0.00
Jan 3, 2024 6:00 PM;Jan 3, 2024 7:00 PM;38,066.75;2,751.00;35,315.75;0.00
Jan 3, 2024 7:00 PM;Jan 3, 2024 8:00 PM;36,916.50;2,718.25;34,198.25;0.00
Jan 3, 2024 8:00 PM;Jan 3, 2024 9:00 PM;36,101.50;2,764.00;33,337.50;0.00
Jan 3, 2024 9:00 PM;Jan 3, 2024 10:00 PM;35,662.50;2,873.00;32,789.50;0.00
Jan 3, 2024 10:00 PM;Jan 3, 2024 11:00 PM;35,172.75;3,021.50;32,151.25;0.00
Jan 3, 2024 11:00 PM;Jan 4, 2024 12:00 AM;35,042.25;3,124.50;31,917.75;0.00
Jan 4, 2024 12:00 AM;Jan 4, 2024 1:00 AM;34,622.25;4,146.75;30,475.50;0.00
Jan 4, 2024 1:00 AM;Jan 4, 2024 2:00 AM;35,308.00;4,200.25;31,107.75;0.00
Jan 4, 2024 2:00 AM;Jan 4, 2024 3:00 AM;35,931.75;4,074.75;31,857.00;0.00
Jan 4, 2024 3:00 AM;Jan 4, 2024 4:00 AM;36,757.00;4,020.00;32,737.00;0.00
Jan 4, 2024 4:00 AM;Jan 4, 2024 5:00 AM;37,505.25;3,849.75;33,655.50;0.00
Jan 4, 2024 5:00 AM;Jan 4, 2024 6:00 AM;37,874.75;3,701.00;34,173.75;0.00
Jan 4, 2024 6:00 AM;Jan 4, 2024 7:00 AM;37,438.50;3,525.00;33,913.50;0.00
Jan 4, 2024 7:00 AM;Jan 4, 2024 8:00 AM;35,874.25;3,267.25;32,607.00;0.00
Jan 4, 2024 8:00 AM;Jan 4, 2024 9:00 AM;34,584.75;2,888.00;31,480.75;216.00
Jan 4, 2024 9:00 AM;Jan 4, 2024 10:00 AM;34,319.00;2,524.75;30,432.50;1,361.75
Jan 4, 2024 10:00 AM;Jan 4, 2024 11:00 AM;34,124.50;2,215.25;28,988.50;2,920.75
Jan 4, 2024 11:00 AM;Jan 4, 2024 12:00 PM;33,864.25;1,976.25;27,611.00;4,277.00
Jan 4, 2024 12:00 PM;Jan 4, 2024 1:00 PM;32,731.75;1,791.75;25,942.25;4,997.75
Jan 4, 2024 1:00 PM;Jan 4, 2024 2:00 PM;30,268.25;1,680.25;23,699.75;4,888.25
Jan 4, 2024 2:00 PM;Jan 4, 2024 3:00 PM;26,172.50;1,678.00;20,782.75;3,711.75
Jan 4, 2024 3:00 PM;Jan 4, 2024 4:00 PM;20,579.50;1,656.25;17,302.75;1,620.50
Jan 4, 2024 4:00 PM;Jan 4, 2024 5:00 PM;15,899.50;1,631.75;14,103.00;164.75
Jan 4, 2024 5:00 PM;Jan 4, 2024 6:00 PM;12,831.00;1,610.25;11,220.75;0.00
Jan 4, 2024 6:00 PM;Jan 4, 2024 7:00 PM;10,637.00;1,635.25;9,001.75;0.00
Jan 4, 2024 7:00 PM;Jan 4, 2024 8:00 PM;9,214.50;1,757.00;7,457.50;0.00
Jan 4, 2024 8:00 PM;Jan 4, 2024 9:00 PM;8,784.25;1,954.00;6,830.25;0.00
Jan 4, 2024 9:00 PM;Jan 4, 2024 10:00 PM;8,630.75;2,205.50;6,425.25;0.00
Jan 4, 2024 10:00 PM;Jan 4, 2024 11:00 PM;8,964.50;2,599.50;6,365.00;0.00
Jan 4, 2024 11:00 PM;Jan 5, 2024 12:00 AM;10,068.50;3,124.75;6,943.75;0.00
Jan 5, 2024 12:00 AM;Jan 5, 2024 1:00 AM;11,960.75;3,995.50;7,965.25;0.00
Jan 5, 2024 1:00 AM;Jan 5, 2024 2:00 AM;13,671.75;4,581.00;9,090.75;0.00
Jan 5, 2024 2:00 AM;Jan 5, 2024 3:00 AM;15,697.25;5,020.50;10,676.75;0.00
Jan 5, 2024 3:00 AM;Jan 5, 2024 4:00 AM;17,757.25;5,048.75;12,708.50;0.00
Jan 5, 2024 4:00 AM;Jan 5, 2024 5:00 AM;19,704.75;5,036.00;14,668.75;0.00
Jan 5, 2024 5:00 AM;Jan 5, 2024 6:00 AM;21,433.75;5,026.00;16,407.75;0.00
Jan 5, 2024 6:00 AM;Jan 5, 2024 7:00 AM;22,959.00;5,041.50;17,917.50;0.00
Jan 5, 2024 7:00 AM;Jan 5, 2024 8:00 AM;23,899.50;5,038.50;18,861.00;0.00
Jan 5, 2024 8:00 AM;Jan 5, 2024 9:00 AM;25,479.25;5,050.75;20,155.25;273.25
Jan 5, 2024 9:00 AM;Jan 5, 2024 10:00 AM;27,972.75;5,036.50;21,153.50;1,782.75
Jan 5, 2024 10:00 AM;Jan 5, 2024 11:00 AM;30,559.25;5,091.25;21,693.25;3,774.75
Jan 5, 2024 11:00 AM;Jan 5, 2024 12:00 PM;31,668.25;4,866.75;21,620.75;5,180.75
Jan 5, 2024 12:00 PM;Jan 5, 2024 1:00 PM;31,701.50;4,933.50;21,340.00;5,428.00
Jan 5, 2024 1:00 PM;Jan 5, 2024 2:00 PM;30,983.00;5,027.75;21,362.00;4,593.25
Jan 5, 2024 2:00 PM;Jan 5, 2024 3:00 PM;29,066.25;4,872.25;21,310.00;2,884.00
Jan 5, 2024 3:00 PM;Jan 5, 2024 4:00 PM;27,238.75;5,021.50;21,067.00;1,150.25
Jan 5, 2024 4:00 PM;Jan 5, 2024 5:00 PM;26,291.50;5,156.75;20,987.75;147.00
Jan 5, 2024 5:00 PM;Jan 5, 2024 6:00 PM;26,297.00;5,271.50;21,025.50;0.00
Jan 5, 2024 6:00 PM;Jan 5, 2024 7:00 PM;26,396.25;5,348.50;21,047.75;0.00
Jan 5, 2024 7:00 PM;Jan 5, 2024 8:00 PM;26,328.00;5,405.75;20,922.25;0.00
Jan 5, 2024 8:00 PM;Jan 5, 2024 9:00 PM;25,892.00;5,447.00;20,445.00;0.00
Jan 5, 2024 9:00 PM;Jan 5, 2024 10:00 PM;25,062.50;5,504.50;19,558.00;0.00
Jan 5, 2024 10:00 PM;Jan 5, 2024 11:00 PM;23,833.50;5,596.75;18,236.75;0.00
Jan 5, 2024 11:00 PM;Jan 6, 2024 12:00 AM;22,660.50;5,597.00;17,063.50;0.00
Jan 6, 2024 12:00 AM;Jan 6, 2024 1:00 AM;19,654.00;6,101.00;13,553.00;0.00
Jan 6, 2024 1:00 AM;Jan 6, 2024 2:00 AM;18,370.75;6,116.00;12,254.75;0.00
Jan 6, 2024 2:00 AM;Jan 6, 2024 3:00 AM;17,585.50;6,058.75;11,526.75;0.00
Jan 6, 2024 3:00 AM;Jan 6, 2024 4:00 AM;17,074.00;5,926.50;11,147.50;0.00
Jan 6, 2024 4:00 AM;Jan 6, 2024 5:00 AM;16,580.00;5,804.25;10,775.75;0.00
Jan 6, 2024 5:00 AM;Jan 6, 2024 6:00 AM;16,340.00;5,798.25;10,541.75;0.00
Jan 6, 2024 6:00 AM;Jan 6, 2024 7:00 AM;16,113.25;5,790.50;10,322.75;0.00
Jan 6, 2024 7:00 AM;Jan 6, 2024 8:00 AM;15,785.25;5,756.00;10,029.25;0.00
Jan 6, 2024 8:00 AM;Jan 6, 2024 9:00 AM;16,207.75;5,700.25;10,325.25;182.25
Jan 6, 2024 9:00 AM;Jan 6, 2024 10:00 AM;17,229.00;5,596.50;10,553.00;1,079.50
Jan 6, 2024 10:00 AM;Jan 6, 2024 11:00 AM;18,485.75;5,575.00;10,607.25;2,303.50
Jan 6, 2024 11:00 AM;Jan 6, 2024 12:00 PM;19,129.25;5,366.75;10,584.25;3,178.25
Jan 6, 2024 12:00 PM;Jan 6, 2024 1:00 PM;19,194.00;5,349.50;10,593.50;3,251.00
Jan 6, 2024 1:00 PM;Jan 6, 2024 2:00 PM;18,772.50;5,344.00;10,817.25;2,611.25
Jan 6, 2024 2:00 PM;Jan 6, 2024 3:00 PM;18,287.50;5,228.50;11,562.75;1,496.25
Jan 6, 2024 3:00 PM;Jan 6, 2024 4:00 PM;17,709.25;5,265.00;11,887.75;556.50
Jan 6, 2024 4:00 PM;Jan 6, 2024 5:00 PM;17,598.75;5,321.25;12,206.75;70.75
Jan 6, 2024 5:00 PM;Jan 6, 2024 6:00 PM;17,989.25;5,320.00;12,669.25;0.00
